Vest_ID,Age,Income,Balance,Contributions,Strategy
269,52,67858.06,824323.76,0.08,0
270,41,77448.71,924427.25,0.02,1
271,26,119854.99,226364.03,0.03,2
272,45,94109.62,411675.94,0.07,1
273,37,83158.61,936187.83,0.03,2
274,53,119289.26,618954.13,0.09,1
275,39,68756.91,726316.22,0.06,1
276,35,130008.82,887382.46,0.06,0
277,58,89962.22,880172.56,0.03,0
278,58,104533.39,616736.15,0.02,2
279,61,84839.07,806760.43,0.06,0
280,61,69146.4,983044.12,0.07,0
281,36,91123.52,644720.9,0.06,2
282,42,70541.93,323290.08,0.02,2
283,44,124368.57,390351.88,0.07,1
284,49,132329.7,2313.09,0.05,2
285,62,108252.73,347608.7,0.06,0
286,51,127896.92,427255.22,0.09,2
287,33,126773.53,946267.87,0.05,1
288,53,35761.55,314773.33,0.03,1
289,56,109378.34,183876.29,0.09,0
290,27,139967.54,46160.18,0.04,2
291,27,84171.71,174146.68,0.05,0
292,64,131036.33,399618.41,0.01,1
293,39,50132.68,209795.47,0.1,0
294,63,51503.16,243660.37,0.04,2
295,37,144905.57,160592.33,0.04,0
296,43,31142.92,725481.12,0.08,1
297,61,141836.79,720705.91,0.1,0
298,39,137817.55,17946.38,0.02,2
299,51,123458.39,836425.96,0.01,1
300,50,134113.31,126021.92,0.08,2
301,57,110818.27,585904.94,0.02,0
302,34,131574.44,424367.85,0.1,2
303,64,120541.08,265663.12,0.07,0
304,53,113141.35,615831.48,0.01,2
305,46,124897.78,460952.89,0.03,1
306,32,25478.94,243152.19,0.06,1
307,39,42472.94,699011.38,0.1,2
308,47,52982.54,210017.07,0.07,2
309,51,36093.33,477600.38,0.05,2
310,41,90193.48,296532.39,0.03,2
311,27,122464.88,922757.46,0.09,1
312,54,75789.14,447594.95,0.09,2
313,58,29749.95,678811.9,0.06,0
314,44,128739.36,632724.85,0.05,0
315,25,105548.38,644682.37,0.08,0
316,45,83884.81,215881.38,0.05,0
317,55,56048.11,561755.38,0.04,2
318,25,62977.76,9245.26,0.05,0
319,58,36607.92,601894.02,0.07,1
320,58,43543.45,601207.42,0.05,2
321,24,82167.98,577240.28,0.03,0
322,27,91047.29,955417.19,0.05,1
323,42,89104.24,499470.08,0.1,2
324,50,65716.85,656380.84,0.09,0
325,24,119658.62,428563.76,0.06,0
326,42,46195.03,253084.18,0.06,1
327,40,126969.5,827129.66,0.03,2
328,57,149821.22,775079.39,0.03,2
329,51,112865.85,762584.18,0.08,0
330,58,81233.26,177348.34,0.04,0
331,49,141247.81,870350.75,0.05,2
332,50,65170.1,216534.49,0.05,2
333,32,61064.63,481904.44,0.07,2
334,26,25387.82,224799.38,0.07,0
335,53,54393.12,191610.16,0.05,2
336,28,81623.64,96766.11,0.04,0
337,33,70375.79,669138.99,0.06,0
338,37,94094.59,648132.22,0.09,0
339,48,132850.57,939542.48,0.06,1
340,59,111789.83,223278.99,0.05,2
341,30,130570.3,268302.32,0.05,1
342,46,91935.89,665649.55,0.08,0
343,24,148874.16,61698.38,0.1,0
344,28,58229.81,243586.34,0.02,1
345,32,144887.17,720546.14,0.07,2
346,49,81118.42,431858.63,0.04,1
347,60,124158.42,197673.19,0.07,0
348,36,66018.33,117691.58,0.06,0
349,57,101933.67,502528.63,0.08,0
350,29,93666.94,508081.1,0.02,2
351,49,121522.51,24179.72,0.04,2
352,54,77016.53,319683.18,0.02,0
353,55,38803.62,966486.17,0.05,2
354,60,130125.39,832493.21,0.02,0
355,25,94499.25,752827.89,0.05,1
356,50,122202.73,666313.17,0.1,0
357,59,67862.42,435113.07,0.07,2
358,39,89479.71,26055.77,0.1,2
359,51,147520.48,462754.49,0.04,0
360,64,85479.78,27252.44,0.02,0
361,36,29961.61,691946.09,0.08,0
362,39,131943.13,832331.33,0.02,2
363,56,75694.57,429545.35,0.07,2
364,57,27469.97,96741.94,0.01,1
365,27,42743.67,870520.82,0.09,0
366,49,72544.25,405213.15,0.03,0
367,40,52765.35,385138.22,0.02,0
368,48,57320.39,640929.38,0.05,1
369,64,39399.85,33246.95,0.06,0
370,61,87026.65,523873.26,0.07,1
371,61,92369.79,743998.74,0.09,2
372,52,81056.27,960140.84,0.03,2
373,53,51610.97,719263.42,0.1,2
374,49,38621.43,719249.27,0.04,2
375,54,149744.38,998075.84,0.03,0
376,32,62545.01,789905.26,0.03,0
377,26,83914.61,24698.31,0.03,1
378,27,64831.6,800649.13,0.09,1
379,35,147317.55,855303.4,0.04,0
380,28,64982.39,867630.74,0.09,0
381,25,86209.37,491549.93,0.04,1
382,63,40664.98,783301.04,0.06,1
383,37,91690.66,89837.23,0.02,0
384,24,129051.08,255565.85,0.03,2
385,26,68647.09,595268.78,0.06,0
386,47,148331.01,238757.14,0.03,2
387,50,31523.28,186659.76,0.02,2
388,35,143403.86,859298.01,0.06,1
389,45,115359.2,964244.76,0.08,1
390,50,132889.13,723216.71,0.08,2
391,36,101332.56,257811.28,0.05,0
392,38,124963.19,934912.66,0.08,2
393,30,126596.46,326855.41,0.04,0
394,49,93863.18,782557.85,0.07,1
395,43,140086.91,693900.8,0.01,2
396,27,104508.22,445517.52,0.08,1
397,36,124576.82,824051.57,0.03,2
398,31,129288.39,859711.32,0.05,0
399,38,120227.58,923750.6,0.09,2
400,24,32137.76,770778.54,0.04,2
401,62,113533.86,63401.64,0.05,2
402,57,126566.86,324308.41,0.02,1
403,25,101935.17,398463.03,0.01,0
404,56,149396.47,161467.23,0.01,0
405,48,48961.06,222680.72,0.06,2
406,37,79352.15,187529.51,0.01,2
407,46,56855.02,558295.29,0.02,2
408,56,55561.48,5184.14,0.09,2
409,33,112354.55,793243.59,0.02,0
410,59,47614.52,375089.98,0.06,1
411,48,121359.35,603843.06,0.09,1
412,58,59162.54,102845.14,0.02,2
413,50,47933.3,960064.55,0.03,2
414,47,76446.98,266837.88,0.1,1
415,44,28407.67,799801.55,0.05,1
416,42,31829.87,285865.27,0.03,2
417,42,82978.02,911678.53,0.05,2
418,48,84263.84,355246.82,0.06,2
419,55,66586.98,417407.81,0.01,1
420,30,49335.72,851851.03,0.05,1
421,24,48944.62,964815.17,0.08,2
422,64,109588.32,217184.32,0.02,0
423,53,97864.9,921728.35,0.06,0
424,38,101408.94,960123.24,0.03,2
425,39,36346.04,897258.87,0.05,1
426,60,149484.19,375486.44,0.06,1
427,40,82940.98,905106.34,0.02,2
428,63,89474.55,755879.99,0.1,2
429,24,120440.28,977624.45,0.07,0
430,52,58543.89,451604.65,0.03,2
431,33,88613.38,364602.92,0.02,0
432,28,107597.29,167422.17,0.02,1
433,48,113534.78,847490.16,0.09,0
434,59,111260.93,256936.18,0.02,1
435,51,53969.72,999442.35,0.06,0
436,26,121699.73,357241.98,0.04,1
437,33,141496.38,331093.51,0.06,0
438,49,106766.82,706770.19,0.03,0
439,48,149021.51,892420.23,0.03,1
440,29,86129.97,520.32,0.05,1
441,26,26275.08,37453.54,0.09,1
442,42,60867.85,36413.72,0.01,0
443,56,100923.6,955449.87,0.02,0
444,62,127169.77,64458.85,0.04,0
445,33,73934.05,36785.67,0.07,2
446,59,125555.37,253449.3,0.04,0
447,42,99667.33,986502.54,0.02,2
448,51,148422.73,76172.61,0.07,1
449,47,36254.31,837758.43,0.07,0
450,57,111662.55,766375.4,0.08,1
451,39,40592.97,491342.92,0.03,0
452,61,126631.85,787746.98,0.01,2
453,38,92519.99,668010.57,0.05,0
454,60,133728.22,596952.35,0.05,2
455,41,57616.03,664654.58,0.05,0
456,48,125632.5,290460.1,0.06,1
457,42,47818.86,979159.97,0.04,0
458,47,102342.62,298338.74,0.09,2
459,40,71601.5,14541.62,0.04,2
460,42,43608.35,850335.7,0.01,1
461,40,43476.11,299534.39,0.09,0
462,55,116671.54,899996.27,0.07,0
463,33,127299.83,818335.7,0.08,2
464,37,143254.76,963198.86,0.04,0
465,56,69348.74,318456,0.08,1
466,30,78130.46,26907.36,0.08,1
467,27,112753.18,264786.39,0.09,0
468,52,62275,131688.37,0.04,0
469,53,142314.77,729095.83,0.06,0
470,59,39581.47,12245.9,0.03,0
471,27,83746.26,204911.7,0.06,0
472,58,123387.58,432812.84,0.03,1
473,63,98715.21,132096.65,0.03,1
474,25,33462.78,948916.38,0.08,0
475,43,141084.44,603018.65,0.05,0
476,41,105343.37,657773.48,0.05,1
477,34,95707.29,299592.94,0.02,1
478,33,108202.43,564996.61,0.1,0
479,34,118711.83,177262,0.03,1
480,48,104368.19,385408.38,0.09,1
481,52,94445.58,261363.07,0.08,1
482,33,68742.08,569006.15,0.05,1
483,52,44541.81,551805.79,0.05,1
484,54,134379.34,990709.16,0.07,2
485,55,118612.07,406713.07,0.02,0
486,34,68245.46,814896.53,0.06,1
487,43,35738.79,805801.47,0.02,2
488,61,25791.39,289130.09,0.07,1
489,31,108044.35,785294.87,0.07,1
490,42,143978.34,717476.78,0.07,1
491,27,82025.93,615537.92,0.09,2
492,58,111897.2,596102.82,0.08,2
493,39,45167.89,461602.12,0.03,1
494,60,121023.68,730489.05,0.02,0
495,30,118511.5,110093.04,0.04,2
496,29,98407.5,858419.44,0.06,2
497,58,119908.56,866028.88,0.02,0
498,62,54809.3,217378.46,0.06,2
499,51,77523.16,334184.32,0.07,1
500,50,26141.37,183483.96,0.08,2
501,37,69294.9,99425.56,0.07,0
502,34,68913.61,460160.16,0.02,1
503,46,27075.7,563079.07,0.05,1
504,57,118100.31,405895.21,0.08,0
505,25,94781.63,962107.36,0.01,1
506,46,26735.34,826742.83,0.03,1
507,43,109290.81,432033.15,0.02,2
508,61,92217.4,399427.62,0.04,1
509,26,34501.06,876801.68,0.08,0
510,31,45517.42,44146.29,0.07,0
511,63,97073.91,316869.47,0.07,1
512,33,32536.54,94805.74,0.04,1
513,53,113291.9,504419.03,0.09,1
514,45,61030.32,698052.53,0.08,0
515,47,40658.1,121944.36,0.08,0
516,41,62052.4,185574.72,0.02,1
517,53,51481.86,807637.57,0.06,0
518,61,84784.2,70491.58,0.02,1
519,34,146023.98,134576.63,0.09,2
520,30,53082.73,768745.95,0.04,2
521,57,59039.12,115826.57,0.03,0
522,39,40762.3,421369.15,0.09,0
523,47,77473.54,935193.51,0.06,1
524,58,48886.63,79207.47,0.09,0
525,32,135065.24,347173.65,0.02,2
526,25,113068.51,514440.63,0.02,1
527,44,51708.36,769809.47,0.09,1
528,60,38904.88,743483.2,0.05,2
529,61,104091.03,579098.23,0.07,0
530,29,139180.14,711564.85,0.06,0
531,35,81261.1,154266.38,0.04,2
532,52,68066.24,673931.82,0.08,1
533,60,74778.5,733754.22,0.07,0
534,54,83631.97,971438.4,0.04,2
535,54,53467.47,495728.37,0.06,1
536,49,41245.03,271810.67,0.07,0
537,34,83537.14,184608.16,0.02,1
538,25,27224.97,44643.29,0.09,0
539,40,79415.72,330024.94,0.05,0
540,64,30231.48,968125.84,0.06,0
541,38,147378.49,253565.81,0.01,2
542,28,103038.63,90081.79,0.05,1
543,33,43542.13,406390.93,0.08,2
544,31,83731.8,723699.04,0.03,2
545,42,45955.44,957688.87,0.07,0
546,50,33889.61,453185.95,0.05,1
547,34,42155.4,701580.53,0.07,2
548,57,86720.03,202692.09,0.07,0
549,44,49390.04,214265.77,0.03,0
550,56,62612.69,782031.47,0.03,2
551,60,130628.47,413529.57,0.04,2
552,25,46117.55,186454.59,0.1,1
553,47,60098.23,566957.39,0.07,1
554,25,49848.41,454861.06,0.02,2
555,27,39193.59,329526.69,0.06,2
556,58,61287.36,420834.27,0.07,0
557,54,149063.2,513256.56,0.02,0
558,24,142614.29,360118.13,0.07,0
559,27,110020.38,910440.02,0.06,0
560,32,98038.7,762586.61,0.1,2
561,57,88165.15,665060.98,0.02,2
562,60,136892.07,285763.32,0.03,0
563,30,101358.71,511444.12,0.06,1
564,29,51782.05,62740.71,0.06,1
565,48,119881.51,623849.5,0.07,0
566,34,107944.77,305957.15,0.1,1
567,43,96929.71,472968.52,0.07,0
568,45,148238.27,233662.4,0.06,1
569,44,71069.39,947458.8,0.04,2
570,54,101309.42,728182.72,0.09,1
571,44,74477.75,341587.34,0.02,2
572,41,67596.35,903720.51,0.06,2
573,49,145619.36,654829.18,0.05,1
574,51,143768.38,845375.21,0.08,1
575,36,138263.99,718554.49,0.02,0
576,55,108166.46,415643.88,0.07,0
577,31,148944.67,825044.5,0.07,2
578,52,87297.05,643695.09,0.04,2
579,48,59783.83,465577.92,0.03,0
580,38,148274.62,559848.29,0.06,2
581,44,99212.38,464769.1,0.08,1
582,47,66405.03,989754,0.01,2
583,54,73263.29,713688.24,0.09,0
584,56,84715.01,876185.9,0.1,1
585,41,73574.93,731630.78,0.07,2
586,33,141393.29,872485.13,0.02,0
587,52,146107.09,877461.43,0.09,2
588,50,65015.8,684177.45,0.09,1
589,52,126231.97,48504.24,0.02,1
590,58,68363.13,97563.4,0.02,1
591,37,145288.47,821752.45,0.09,1
592,62,30548.87,149057.2,0.06,2
593,26,141635.63,632750.46,0.04,1
594,47,149537.02,194394.78,0.01,0
595,31,103256.89,873868.79,0.01,2
596,58,60027.38,306426.33,0.03,1
597,24,110903.16,570308.62,0.09,1
598,30,84171.93,298505.55,0.07,1
599,60,115361.7,16865.77,0.04,2
600,60,77621.97,493548.58,0.03,1
601,36,67890.82,499078.54,0.04,2
602,24,31023.15,577114.84,0.1,1
603,61,124659.51,621822.63,0.09,2
604,25,80645.62,617535.56,0.09,1
605,33,41140.95,78291.74,0.1,2
606,54,75569.36,95948.17,0.09,0
607,49,121895.29,87670.02,0.04,2
608,62,43236.64,503070.5,0.09,2
609,30,60317.6,638520.04,0.06,2
610,49,97260.4,470843.53,0.05,2
611,59,54806.59,59636.08,0.09,0
612,48,58798.49,125917.37,0.03,0
613,44,128695.14,689818.39,0.07,1
614,26,105231.81,457233.61,0.1,0
615,36,89735.26,851327.96,0.07,0
616,42,72889.51,713298.13,0.06,1
617,50,39766.7,235024.98,0.01,0
618,63,144564.76,186811.06,0.08,1
619,46,84704.17,336777.05,0.02,1
620,27,44356.72,47143.94,0.07,0
621,61,27089.84,913271.44,0.01,2
622,51,149177.04,928562.02,0.05,2
623,37,61849.03,282145.52,0.07,2
624,58,39521.54,679870.83,0.04,1
625,33,43501.36,589319.38,0.05,1
626,26,67814.09,642267.16,0.05,0
627,45,97590.8,644554.7,0.07,0
628,36,124144.55,950500.56,0.07,0
629,45,104034.44,291367.12,0.02,2
630,33,114990.64,72674.34,0.04,2
631,45,137785.87,826980.9,0.05,2
632,57,26948.5,58331.28,0.09,2
633,34,34501.82,876205.42,0.08,1
634,38,127716.26,726357.21,0.09,2
635,26,118516.25,797769.5,0.06,1
636,63,61880.96,53543.5,0.06,2
637,52,69958.84,188094.91,0.04,1
638,24,122866.85,884376.62,0.01,2
639,48,55782.9,178315.19,0.09,2
640,28,134604,153121.22,0.04,2
641,48,135433.59,898638.13,0.03,2
642,54,71162.08,506602.57,0.09,1
643,25,91217.83,587880.06,0.04,0
644,42,126520.74,575762.75,0.05,0
645,53,49131.13,102835.43,0.08,0
646,24,126290.07,623228.7,0.05,2
647,33,81305.46,395008.64,0.04,0
648,60,74890.56,190670.63,0.04,1
649,53,145164.92,267137.73,0.07,1
650,59,74066.44,464114.47,0.04,0
651,46,51436.29,844202.48,0.01,2
652,52,131015.46,826368.6,0.04,0
653,45,77074.14,537530.72,0.08,0
654,52,138036.64,410510.87,0.04,2
655,58,68457.02,716964.89,0.09,2
656,27,135054.33,133574.38,0.07,1
657,36,120829.9,640761.6,0.06,2
658,37,41729.67,183325.19,0.04,2
659,54,63233.77,957475.69,0.01,1
660,54,48697.42,740610.16,0.01,1
661,61,49505.52,61809.99,0.08,2
662,50,51223.54,988915.05,0.09,0
663,57,46723.44,961984.01,0.05,0
664,62,59427.46,372495.62,0.03,2
665,64,134625.38,187883.27,0.08,1
666,49,88373.44,990311.33,0.03,0
667,53,137171.28,221746.72,0.1,2
668,49,120421.44,731830.7,0.04,2
669,38,133903.68,334676.16,0.09,1
670,38,94340.61,897010.37,0.02,1
671,53,148116.06,351110.84,0.09,2
672,36,132022.9,123921.83,0.05,0
673,36,109382.38,450281.53,0.08,2
674,52,111308.97,953328.38,0.03,2
675,56,74066.72,173260.1,0.03,0
676,55,78827.21,359092.84,0.09,0
677,56,29919.72,856885.3,0.09,1
678,30,144046.05,429044.61,0.09,0
679,24,113304.65,953877.89,0.08,1
680,61,109422.07,67551.64,0.04,1
681,32,65940.35,308258.39,0.04,0
682,55,43781.98,614262.64,0.08,0
683,46,91398.98,424883.31,0.02,0
684,47,30167.41,509792.47,0.09,1
685,50,62891.44,336685.77,0.06,0
686,58,87859.2,993012.39,0.07,0
687,47,50750.76,909825.74,0.05,0
688,62,100256.35,196295.01,0.05,1
689,30,36245.3,561145.9,0.01,0
690,35,77101,947670,0.06,2
691,40,75568.35,195235.46,0.06,0
692,44,49675.16,9506.97,0.1,2
693,40,61849.32,155839.07,0.03,0
694,56,86853.34,627715.75,0.03,2
695,39,87523.07,559257.31,0.1,0
696,47,120022.27,174208.1,0.05,0
697,48,80379.06,744554.14,0.04,2
698,31,73669.52,128994.51,0.08,2
